Fr[0][0] = 0.007813 ,Fi[0][0] = 0.007813
Fr[5][28] = 0.136719 ,Fi[5][28] = 0.136719
Fr[5][29] = 0.140625 ,Fi[5][29] = 0.140625
Fr[5][30] = 0.144531 ,Fi[5][30] = 0.144531
Fr[5][31] = 0.148438 ,Fi[5][31] = 0.148438
Fr[6][0] = 0.031250 ,Fi[6][0] = 0.031250
Fr[6][1] = 0.035156 ,Fi[6][1] = 0.035156
Fr[6][2] = 0.039063 ,Fi[6][2] = 0.039063
Fr[6][3] = 0.042969 ,Fi[6][3] = 0.042969
Fr[6][4] = 0.046875 ,Fi[6][4] = 0.046875
Fr[6][5] = 0.050781 ,Fi[6][5] = 0.050781
Fr[6][6] = 0.054688 ,Fi[6][6] = 0.054688
Fr[6][7] = 0.058594 ,Fi[6][7] = 0.058594
Fr[6][8] = 0.062500 ,Fi[6][8] = 0.062500
Fr[6][9] = 0.066406 ,Fi[6][9] = 0.066406
Fr[6][10] = 0.070313 ,Fi[6][10] = 0.070313
Fr[6][11] = 0.074219 ,Fi[6][11] = 0.074219
Fr[6][12] = 0.078125 ,Fi[6][12] = 0.078125
Fr[6][13] = 0.082031 ,Fi[6][13] = 0.082031
Fr[6][14] = 0.085938 ,Fi[6][14] = 0.085938
Fr[6][15] = 0.089844 ,Fi[6][15] = 0.089844
Fr[6][16] = 0.093750 ,Fi[6][16] = 0.093750
Fr[6][17] = 0.097656 ,Fi[6][17] = 0.097656
Fr[6][18] = 0.101563 ,Fi[6][18] = 0.101563
Fr[6][19] = 0.105469 ,Fi[6][19] = 0.105469
Fr[6][20] = 0.109375 ,Fi[6][20] = 0.109375
Fr[6][21] = 0.113281 ,Fi[6][21] = 0.113281
Fr[6][22] = 0.117188 ,Fi[6][22] = 0.117188
Fr[6][23] = 0.121094 ,Fi[6][23] = 0.121094
Fr[6][24] = 0.125000 ,Fi[6][24] = 0.125000
Fr[6][25] = 0.128906 ,Fi[6][25] = 0.128906
Fr[6][26] = 0.132813 ,Fi[6][26] = 0.132813
Fr[6][27] = 0.136719 ,Fi[6][27] = 0.136719
Fr[6][28] = 0.140625 ,Fi[6][28] = 0.140625
Fr[6][29] = 0.144531 ,Fi[6][29] = 0.144531
Fr[6][30] = 0.148438 ,Fi[6][30] = 0.148438
Fr[6][31] = 0.152344 ,Fi[6][31] = 0.152344
Fr[7][0] = 0.035156 ,Fi[7][0] = 0.035156
Fr[7][1] = 0.039063 ,Fi[7][1] = 0.039063
Fr[7][2] = 0.042969 ,Fi[7][2] = 0.042969
Fr[7][3] = 0.046875 ,Fi[7][3] = 0.046875
Fr[7][4] = 0.050781 ,Fi[7][4] = 0.050781
Fr[7][5] = 0.054688 ,Fi[7][5] = 0.054688
Fr[7][6] = 0.058594 ,Fi[7][6] = 0.058594
Fr[7][7] = 0.062500 ,Fi[7][7] = 0.062500
Fr[7][8] = 0.066406 ,Fi[7][8] = 0.066406
Fr[7][9] = 0.070313 ,Fi[7][9] = 0.070313
Fr[7][10] = 0.074219 ,Fi[7][10] = 0.074219
Fr[7][11] = 0.078125 ,Fi[7][11] = 0.078125
Fr[7][12] = 0.082031 ,Fi[7][12] = 0.082031
Fr[7][13] = 0.085938 ,Fi[7][13] = 0.085938
Fr[7][14] = 0.089844 ,Fi[7][14] = 0.089844
Fr[7][15] = 0.093750 ,Fi[7][15] = 0.093750
Fr[7][16] = 0.097656 ,Fi[7][16] = 0.097656
Fr[7][17] = 0.101563 ,Fi[7][17] = 0.101563
Fr[7][18] = 0.105469 ,Fi[7][18] = 0.105469
Fr[7][19] = 0.109375 ,Fi[7][19] = 0.109375
Fr[7][20] = 0.113281 ,Fi[7][20] = 0.113281
Fr[7][21] = 0.117188 ,Fi[7][21] = 0.117188
Fr[7][22] = 0.121094 ,Fi[7][22] = 0.121094
Fr[7][23] = 0.125000 ,Fi[7][23] = 0.125000
Fr[7][24] = 0.128906 ,Fi[7][24] = 0.128906
Fr[7][25] = 0.132813 ,Fi[7][25] = 0.132813
Fr[7][26] = 0.136719 ,Fi[7][26] = 0.136719
Fr[7][27] = 0.140625 ,Fi[7][27] = 0.140625
Fr[7][28] = 0.144531 ,Fi[7][28] = 0.144531
Fr[7][29] = 0.148438 ,Fi[7][29] = 0.148438
Fr[7][30] = 0.152344 ,Fi[7][30] = 0.152344
Fr[7][31] = 0.156250 ,Fi[7][31] = 0.156250
Fr[8][0] = 0.039063 ,Fi[8][0] = 0.039063
Fr[8][1] = 0.042969 ,Fi[8][1] = 0.042969
Fr[8][2] = 0.046875 ,Fi[8][2] = 0.046875
Fr[8][3] = 0.050781 ,Fi[8][3] = 0.050781
Fr[8][4] = 0.054688 ,Fi[8][4] = 0.054688
Fr[8][5] = 0.058594 ,Fi[8][5] = 0.058594
Fr[8][6] = 0.062500 ,Fi[8][6] = 0.062500
Fr[8][7] = 0.066406 ,Fi[8][7] = 0.066406
Fr[8][8] = 0.070313 ,Fi[8][8] = 0.070313
Fr[8][9] = 0.074219 ,Fi[8][9] = 0.074219
Fr[8][10] = 0.078125 ,Fi[8][10] = 0.078125
Fr[8][11] = 0.082031 ,Fi[8][11] = 0.082031
Fr[8][12] = 0.085938 ,Fi[8][12] = 0.085938
Fr[8][13] = 0.089844 ,Fi[8][13] = 0.089844
Fr[8][14] = 0.093750 ,Fi[8][14] = 0.093750
Fr[8][15] = 0.097656 ,Fi[8][15] = 0.097656
Fr[8][16] = 0.101563 ,Fi[8][16] = 0.101563
Fr[8][17] = 0.105469 ,Fi[8][17] = 0.105469
Fr[8][18] = 0.109375 ,Fi[8][18] = 0.109375
Fr[8][19] = 0.113281 ,Fi[8][19] = 0.113281
Fr[8][20] = 0.117188 ,Fi[8][20] = 0.117188
Fr[8][21] = 0.121094 ,Fi[8][21] = 0.121094
Fr[8][22] = 0.125000 ,Fi[8][22] = 0.125000
Fr[8][23] = 0.128906 ,Fi[8][23] = 0.128906
Fr[8][24] = 0.132813 ,Fi[8][24] = 0.132813
Fr[8][25] = 0.136719 ,Fi[8][25] = 0.136719
Fr[8][26] = 0.140625 ,Fi[8][26] = 0.140625
Fr[8][27] = 0.144531 ,Fi[8][27] = 0.144531
Fr[8][28] = 0.148438 ,Fi[8][28] = 0.148438
Fr[8][29] = 0.152344 ,Fi[8][29] = 0.152344
Fr[8][30] = 0.156250 ,Fi[8][30] = 0.156250
Fr[8][31] = 0.160156 ,Fi[8][31] = 0.160156
Fr[9][0] = 0.042969 ,Fi[9][0] = 0.042969
Fr[9][1] = 0.046875 ,Fi[9][1] = 0.046875
Fr[9][2] = 0.050781 ,Fi[9][2] = 0.050781
Fr[9][3] = 0.054688 ,Fi[9][3] = 0.054688
Fr[9][4] = 0.058594 ,Fi[9][4] = 0.058594
Fr[9][5] = 0.062500 ,Fi[9][5] = 0.062500
Fr[9][6] = 0.066406 ,Fi[9][6] = 0.066406
Fr[9][7] = 0.070313 ,Fi[9][7] = 0.070313
Fr[9][8] = 0.074219 ,Fi[9][8] = 0.074219
Fr[9][9] = 0.078125 ,Fi[9][9] = 0.078125
Fr[9][10] = 0.082031 ,Fi[9][10] = 0.082031
Fr[9][11] = 0.085938 ,Fi[9][11] = 0.085938
Fr[9][12] = 0.089844 ,Fi[9][12] = 0.089844
Fr[9][13] = 0.093750 ,Fi[9][13] = 0.093750
Fr[9][14] = 0.097656 ,Fi[9][14] = 0.097656
Fr[9][15] = 0.101563 ,Fi[9][15] = 0.101563
Fr[9][16] = 0.105469 ,Fi[9][16] = 0.105469
Fr[9][17] = 0.109375 ,Fi[9][17] = 0.109375
Fr[9][18] = 0.113281 ,Fi[9][18] = 0.113281
Fr[9][19] = 0.117188 ,Fi[9][19] = 0.117188
Fr[9][20] = 0.121094 ,Fi[9][20] = 0.121094
Fr[9][21] = 0.125000 ,Fi[9][21] = 0.125000
Fr[9][22] = 0.128906 ,Fi[9][22] = 0.128906
Fr[9][23] = 0.132813 ,Fi[9][23] = 0.132813
Fr[9][24] = 0.136719 ,Fi[9][24] = 0.136719
Fr[9][25] = 0.140625 ,Fi[9][25] = 0.140625
Fr[9][26] = 0.144531 ,Fi[9][26] = 0.144531
Fr[9][27] = 0.148438 ,Fi[9][27] = 0.148438
Fr[9][28] = 0.152344 ,Fi[9][28] = 0.152344
Fr[9][29] = 0.156250 ,Fi[9][29] = 0.156250
Fr[9][30] = 0.160156 ,Fi[9][30] = 0.160156
Fr[9][31] = 0.164063 ,Fi[9][31] = 0.164063
Fr[10][0] = 0.046875 ,Fi[10][0] = 0.046875
Fr[10][1] = 0.050781 ,Fi[10][1] = 0.050781
Fr[10][2] = 0.054688 ,Fi[10][2] = 0.054688
Fr[10][3] = 0.058594 ,Fi[10][3] = 0.058594
Fr[10][4] = 0.062500 ,Fi[10][4] = 0.062500
Fr[10][5] = 0.066406 ,Fi[10][5] = 0.066406
Fr[10][6] = 0.070313 ,Fi[10][6] = 0.070313
Fr[10][7] = 0.074219 ,Fi[10][7] = 0.074219
Fr[10][8] = 0.078125 ,Fi[10][8] = 0.078125
Fr[10][9] = 0.082031 ,Fi[10][9] = 0.082031
Fr[10][10] = 0.085938 ,Fi[10][10] = 0.085938
Fr[10][11] = 0.089844 ,Fi[10][11] = 0.089844
Fr[10][12] = 0.093750 ,Fi[10][12] = 0.093750
Fr[10][13] = 0.097656 ,Fi[10][13] = 0.097656
Fr[10][14] = 0.101563 ,Fi[10][14] = 0.101563
Fr[10][15] = 0.105469 ,Fi[10][15] = 0.105469
Fr[10][16] = 0.109375 ,Fi[10][16] = 0.109375
Fr[10][17] = 0.113281 ,Fi[10][17] = 0.113281
Fr[10][18] = 0.117188 ,Fi[10][18] = 0.117188
Fr[10][19] = 0.121094 ,Fi[10][19] = 0.121094
Fr[10][20] = 0.125000 ,Fi[10][20] = 0.125000
Fr[10][21] = 0.128906 ,Fi[10][21] = 0.128906
Fr[10][22] = 0.132813 ,Fi[10][22] = 0.132813
Fr[10][23] = 0.136719 ,Fi[10][23] = 0.136719
Fr[10][24] = 0.140625 ,Fi[10][24] = 0.140625
Fr[10][25] = 0.144531 ,Fi[10][25] = 0.144531
Fr[10][26] = 0.148438 ,Fi[10][26] = 0.148438
Fr[10][27] = 0.152344 ,Fi[10][27] = 0.152344
Fr[10][28] = 0.156250 ,Fi[10][28] = 0.156250
Fr[10][29] = 0.160156 ,Fi[10][29] = 0.160156
Fr[10][30] = 0.164063 ,Fi[10][30] = 0.164063
Fr[10][31] = 0.167969 ,Fi[10][31] = 0.167969
Fr[11][0] = 0.050781 ,Fi[11][0] = 0.050781
Fr[11][1] = 0.054688 ,Fi[11][1] = 0.054688
Fr[11][2] = 0.058594 ,Fi[11][2] = 0.058594
Fr[11][3] = 0.062500 ,Fi[11][3] = 0.062500
Fr[11][4] = 0.066406 ,Fi[11][4] = 0.066406
Fr[11][5] = 0.070313 ,Fi[11][5] = 0.070313
Fr[11][6] = 0.074219 ,Fi[11][6] = 0.074219
Fr[11][7] = 0.078125 ,Fi[11][7] = 0.078125
Fr[11][8] = 0.082031 ,Fi[11][8] = 0.082031
Fr[11][9] = 0.085938 ,Fi[11][9] = 0.085938
Fr[11][10] = 0.089844 ,Fi[11][10] = 0.089844
Fr[11][11] = 0.093750 ,Fi[11][11] = 0.093750
Fr[11][12] = 0.097656 ,Fi[11][12] = 0.097656
Fr[11][13] = 0.101563 ,Fi[11][13] = 0.101563
Fr[11][14] = 0.105469 ,Fi[11][14] = 0.105469
Fr[11][15] = 0.109375 ,Fi[11][15] = 0.109375
Fr[11][16] = 0.113281 ,Fi[11][16] = 0.113281
Fr[11][17] = 0.117188 ,Fi[11][17] = 0.117188
Fr[11][18] = 0.121094 ,Fi[11][18] = 0.121094
Fr[11][19] = 0.125000 ,Fi[11][19] = 0.125000
Fr[11][20] = 0.128906 ,Fi[11][20] = 0.128906
Fr[11][21] = 0.132813 ,Fi[11][21] = 0.132813
Fr[11][22] = 0.136719 ,Fi[11][22] = 0.136719
Fr[11][23] = 0.140625 ,Fi[11][23] = 0.140625
Fr[11][24] = 0.144531 ,Fi[11][24] = 0.144531
Fr[11][25] = 0.148438 ,Fi[11][25] = 0.148438
Fr[11][26] = 0.152344 ,Fi[11][26] = 0.152344
Fr[11][27] = 0.156250 ,Fi[11][27] = 0.156250
Fr[11][28] = 0.160156 ,Fi[11][28] = 0.160156
Fr[11][29] = 0.164063 ,Fi[11][29] = 0.164063
Fr[11][30] = 0.167969 ,Fi[11][30] = 0.167969
Fr[11][31] = 0.171875 ,Fi[11][31] = 0.171875
Fr[12][0] = 0.054688 ,Fi[12][0] = 0.054688
Fr[12][1] = 0.058594 ,Fi[12][1] = 0.058594
Fr[12][2] = 0.062500 ,Fi[12][2] = 0.062500
Fr[12][3] = 0.066406 ,Fi[12][3] = 0.066406
Fr[12][4] = 0.070313 ,Fi[12][4] = 0.070313
Fr[12][5] = 0.074219 ,Fi[12][5] = 0.074219
Fr[12][6] = 0.078125 ,Fi[12][6] = 0.078125
Fr[12][7] = 0.082031 ,Fi[12][7] = 0.082031
Fr[12][8] = 0.085938 ,Fi[12][8] = 0.085938
Fr[12][9] = 0.089844 ,Fi[12][9] = 0.089844
Fr[12][10] = 0.093750 ,Fi[12][10] = 0.093750
Fr[12][11] = 0.097656 ,Fi[12][11] = 0.097656
Fr[12][12] = 0.101563 ,Fi[12][12] = 0.101563
Fr[12][13] = 0.105469 ,Fi[12][13] = 0.105469
Fr[12][14] = 0.109375 ,Fi[12][14] = 0.109375
Fr[12][15] = 0.113281 ,Fi[12][15] = 0.113281
Fr[12][16] = 0.117188 ,Fi[12][16] = 0.117188
Fr[12][17] = 0.121094 ,Fi[12][17] = 0.121094
Fr[12][18] = 0.125000 ,Fi[12][18] = 0.125000
Fr[12][19] = 0.128906 ,Fi[12][19] = 0.128906
Fr[12][20] = 0.132813 ,Fi[12][20] = 0.132813
Fr[12][21] = 0.136719 ,Fi[12][21] = 0.136719
Fr[12][22] = 0.140625 ,Fi[12][22] = 0.140625
Fr[12][23] = 0.144531 ,Fi[12][23] = 0.144531
Fr[12][24] = 0.148438 ,Fi[12][24] = 0.148438
Fr[12][25] = 0.152344 ,Fi[12][25] = 0.152344
Fr[12][26] = 0.156250 ,Fi[12][26] = 0.156250
Fr[12][27] = 0.160156 ,Fi[12][27] = 0.160156
Fr[12][28] = 0.164063 ,Fi[12][28] = 0.164063
Fr[12][29] = 0.167969 ,Fi[12][29] = 0.167969
Fr[12][30] = 0.171875 ,Fi[12][30] = 0.171875
Fr[12][31] = 0.175781 ,Fi[12][31] = 0.175781
Fr[13][0] = 0.058594 ,Fi[13][0] = 0.058594
Fr[13][1] = 0.062500 ,Fi[13][1] = 0.062500
Fr[13][2] = 0.066406 ,Fi[13][2] = 0.066406
Fr[13][3] = 0.070313 ,Fi[13][3] = 0.070313
Fr[13][4] = 0.074219 ,Fi[13][4] = 0.074219
Fr[13][5] = 0.078125 ,Fi[13][5] = 0.078125
Fr[13][6] = 0.082031 ,Fi[13][6] = 0.082031
Fr[13][7] = 0.085938 ,Fi[13][7] = 0.085938
Fr[13][8] = 0.089844 ,Fi[13][8] = 0.089844
Fr[13][9] = 0.093750 ,Fi[13][9] = 0.093750
Fr[13][10] = 0.097656 ,Fi[13][10] = 0.097656
Fr[13][11] = 0.101563 ,Fi[13][11] = 0.101563
Fr[13][12] = 0.105469 ,Fi[13][12] = 0.105469
Fr[13][13] = 0.109375 ,Fi[13][13] = 0.109375
Fr[13][14] = 0.113281 ,Fi[13][14] = 0.113281
Fr[13][15] = 0.117188 ,Fi[13][15] = 0.117188
Fr[13][16] = 0.121094 ,Fi[13][16] = 0.121094
Fr[13][17] = 0.125000 ,Fi[13][17] = 0.125000
Fr[13][18] = 0.128906 ,Fi[13][18] = 0.128906
Fr[13][19] = 0.132813 ,Fi[13][19] = 0.132813
